name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
rls_enabled_no_policy,RLS Enabled No Policy,INFO,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has been enabled on a table but no RLS policies have been created.,"Table \`public.app_hierarchy_elsalvador.json\` has RLS enabled, but no policies exist",https://supabase.com/docs/guides/database/database-linter?lint=0008_rls_enabled_no_policy,"{""name"":""app_hierarchy_elsalvador.json"",""type"":""table"",""schema"":""public""}",rls_enabled_no_policy_public_app_hierarchy_elsalvador.json
rls_enabled_no_policy,RLS Enabled No Policy,INFO,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has been enabled on a table but no RLS policies have been created.,"Table \`public.database_distritos_elsalvador_2026.csv\` has RLS enabled, but no policies exist",https://supabase.com/docs/guides/database/database-linter?lint=0008_rls_enabled_no_policy,"{""name"":""database_distritos_elsalvador_2026.csv"",""type"":""table"",""schema"":""public""}",rls_enabled_no_policy_public_database_distritos_elsalvador_2026.csv
