Departamento,Distrito,NIT_Distrito,Codigo_Zona,Area_km2,Poblacion,Densidad_HabKm2
LA PAZ,SANTIAGO NONUALCO,0819-081079-001-0,SANTIAGO NONUALCO-0819-CENTRO,,,
LA PAZ,TAPALHUACA,0820-200316-001-4,TAPALHUACA-0820-OESTE,,,
LA PAZ,ZACATECOLUCA,0821-010611-001-5,ZACATECOLUCA-0821-ESTE,,,
LA PAZ,SAN LUIS LA HERRADURA,0822-271084-001-4,SAN LUIS LA HERRADURA-0822-CENTRO,,,
CABAÑAS,CINQUERA,0901-130547-001-6,CINQUERA-0901-OESTE,401.84,86875.0,216.19
CABAÑAS,GUACOTECTI,0902-100273-001-0,GUACOTECTI-0902-ESTE,701.67,66727.0,95.1
CABAÑAS,ILOBASCO,0903-060979-001-4,ILOBASCO-0903-OESTE,,,
CABAÑAS,JUTIAPA,0904-091079-001-9,JUTIAPA-0904-OESTE,,,
CABAÑAS,SAN ISIDRO,0905-091079-001-9,SAN ISIDRO-0905-ESTE,,,
CABAÑAS,SENSUNTEPEQUE,0906-010611-001-5,SENSUNTEPEQUE-0906-ESTE,,,
CABAÑAS,TEJUTEPEQUE,0907-091079-001-9,TEJUTEPEQUE-0907-OESTE,,,
CABAÑAS,VICTORIA,0908-091079-001-9,VICTORIA-0908-ESTE,,,
CABAÑAS,DOLORES,0909-091079-001-9,DOLORES-0909-ESTE,,,
SAN VICENTE,APASTEPEQUE,1001-101079-001-0,APASTEPEQUE-1001-NORTE,556.48,70209.0,126.17
SAN VICENTE,GUADALUPE,1002-101079-001-0,GUADALUPE-1002-SUR,,,
SAN VICENTE,SAN CAYETANO ISTEPEQUE,1003-101079-001-0,SAN CAYETANO ISTEPEQUE-1003-SUR,,,
SAN VICENTE,SANTA CLARA,1004-101079-001-0,SANTA CLARA-1004-NORTE,,,
SAN VICENTE,SANTO DOMINGO,1005-101079-001-0,SANTO DOMINGO-1005-NORTE,,,
SAN VICENTE,SAN ESTEBAN CATARINA,1006-101079-001-0,SAN ESTEBAN CATARINA-1006-NORTE,,,
SAN VICENTE,SAN ILDEFONSO,1007-101079-001-0,SAN ILDEFONSO-1007-NORTE,,,
SAN VICENTE,SAN LORENZO,1008-101079-001-0,SAN LORENZO-1008-NORTE,,,
SAN VICENTE,SAN SEBASTIAN,1009-101079-001-0,SAN SEBASTIAN-1009-NORTE,,,
SAN VICENTE,SAN VICENTE,1010-010611-001-2,SAN VICENTE-1010-SUR,627.54,99893.0,159.18
SAN VICENTE,TECOLUCA,1011-101079-001-1,TECOLUCA-1011-SUR,,,
SAN VICENTE,TEPETITAN,1012-101079-001-1,TEPETITAN-1012-SUR,,,
SAN VICENTE,VERAPAZ,1013-101079-001-1,VERAPAZ-1013-SUR,,,
USULUTAN,ALEGRIA,1101-111079-001-0,ALEGRIA-1101-NORTE,551.69,109367.0,198.24
USULUTAN,BERLIN,1102-030478-001-1,BERLIN-1102-NORTE,,,
USULUTAN,CALIFORNIA,1103-111079-001-0,CALIFORNIA-1103-ESTE,831.32,160590.0,193.17
USULUTAN,CONCEPCION BATRES,1104-111079-001-0,CONCEPCION BATRES-1104-ESTE,,,
USULUTAN,EL TRIUNFO,1105-111079-001-0,EL TRIUNFO-1105-NORTE,,,
USULUTAN,EREGUAYQUIN,1106-111079-001-0,EREGUAYQUIN-1106-ESTE,,,
USULUTAN,ESTANZUELAS,1107-111079-001-0,ESTANZUELAS-1107-NORTE,,,
USULUTAN,JIQUILISCO,1108-111079-001-0,JIQUILISCO-1108-OESTE,747.43,79311.0,106.11
USULUTAN,JUCUAPA,1109-111079-001-0,JUCUAPA-1109-NORTE,,,
USULUTAN,JUCUARAN,1110-111079-001-1,JUCUARAN-1110-ESTE,,,
USULUTAN,MERCEDES UMAÑA,1111-111079-001-1,MERCEDES UMAÑA-1111-NORTE,,,
USULUTAN,NUEVA GRANADA,1112-111079-001-1,NUEVA GRANADA-1112-NORTE,,,
USULUTAN,OZATLAN,1113-111079-001-1,OZATLAN-1113-ESTE,,,
USULUTAN,PUERTO EL TRIUNFO,1114-111079-001-1,PUERTO EL TRIUNFO-1114-OESTE,,,
USULUTAN,SAN AGUSTIN,1115-111079-001-1,SAN AGUSTIN-1115-OESTE,,,
USULUTAN,SAN BUENAVENTURA,1116-111079-001-1,SAN BUENAVENTURA-1116-NORTE,,,
USULUTAN,SAN DIONISIO,1117-111079-001-1,SAN DIONISIO-1117-ESTE,,,
USULUTAN,SANTA ELENA,1118-111079-001-1,SANTA ELENA-1118-ESTE,,,
USULUTAN,SAN FRANCISCO JAVIER,1119-111079-001-1,SAN FRANCISCO JAVIER-1119-OESTE,,,
USULUTAN,SANTA MARIA,1120-111079-001-2,SANTA MARIA-1120-ESTE,,,
USULUTAN,SANTIAGO DE MARIA,1121-080777-001-9,SANTIAGO DE MARIA-1121-NORTE,,,
USULUTAN,TECAPAN,1122-111079-001-2,TECAPAN-1122-ESTE,,,
USULUTAN,USULUTAN,1123-010611-002-7,USULUTAN-1123-ESTE,,,
SAN MIGUEL,CAROLINA,1201-121079-001-0,CAROLINA-1201-NORTE,,,
SAN MIGUEL,CIUDAD BARRIOS,1202-210413-001-7,CIUDAD BARRIOS-1202-NORTE,758.96,79611.0,104.89
SAN MIGUEL,COMACARAN,1203-121079-001-0,COMACARAN-1203-CENTRO,,,
SAN MIGUEL,CHAPELTIQUE,1204-121079-001-0,CHAPELTIQUE-1204-NORTE,,,
SAN MIGUEL,CHINAMECA,1205-121079-001-0,CHINAMECA-1205-OESTE,321.06,86900.0,270.67
SAN MIGUEL,CHIRILAGUA,1206-121079-001-0,CHIRILAGUA-1206-CENTRO,,,
SAN MIGUEL,EL TRANSITO,1207-121079-001-0,EL TRANSITO-1207-OESTE,,,
SAN MIGUEL,LOLOTIQUE,1208-121079-001-0,LOLOTIQUE-1208-OESTE,,,
SAN MIGUEL,MONCAGUA,1209-121076-001-7,MONCAGUA-1209-CENTRO,,,
SAN MIGUEL,NUEVA GUADALUPE,1210-121079-001-1,NUEVA GUADALUPE-1210-OESTE,,,
SAN MIGUEL,NUEVO EDEN DE SAN JUAN,1211-121079-001-1,NUEVO EDEN DE SAN JUAN-1211-NORTE,,,
SAN MIGUEL,QUELEPA,1212-121079-001-1,QUELEPA-1212-CENTRO,,,
SAN MIGUEL,SAN ANTONIO DEL MOSCO,1213-121079-001-1,SAN ANTONIO DEL MOSCO-1213-NORTE,,,
SAN MIGUEL,SAN GERARDO,1214-121079-001-1,SAN GERARDO-1214-NORTE,,,
SAN MIGUEL,SAN JORGE,1215-121079-001-1,SAN JORGE-1215-OESTE,,,
SAN MIGUEL,SAN LUIS DE LA REINA,1216-121079-001-1,SAN LUIS DE LA REINA-1216-NORTE,,,
SAN MIGUEL,SAN MIGUEL,1217-010611-001-6,SAN MIGUEL-1217-CENTRO,997.08,398361.0,399.53
SAN MIGUEL,SAN RAFAEL ORIENTE,1218-121079-001-1,SAN RAFAEL ORIENTE-1218-OESTE,,,
SAN MIGUEL,SESORI,1219-121079-001-1,SESORI-1219-NORTE,,,
SAN MIGUEL,ULUAZAPA,1220-121079-001-2,ULUAZAPA-1220-CENTRO,,,
MORAZAN,ARAMBALA,1301-131079-001-0,ARAMBALA-1301-NORTE,735.15,55012.0,74.83
MORAZAN,CACAOPERA,1302-131079-001-0,CACAOPERA-1302-NORTE,,,
MORAZAN,CORINTO,1303-131079-001-0,CORINTO-1303-NORTE,,,
MORAZAN,CHILANGA,1304-131079-001-0,CHILANGA-1304-SUR,712.3,123236.0,173.01
MORAZAN,DELICIAS DE CONCEPCION ,1305-131079-001-0,DELICIAS DE CONCEPCION -1305-SUR,,,
MORAZAN,EL DIVISADERO,1306-131079-001-0,EL DIVISADERO-1306-SUR,,,
MORAZAN,"EL ROSARIO, MORAZAN",1307-131079-001-0,"EL ROSARIO, MORAZAN-1307-NORTE",,,
MORAZAN,GUALOCOCTI,1308-131079-001-0,GUALOCOCTI-1308-SUR,,,
MORAZAN,GUATAJIAGUA,1309-131079-001-0,GUATAJIAGUA-1309-SUR,,,
MORAZAN,JOATECA,1310-131079-001-1,JOATECA-1310-NORTE,,,
MORAZAN,JOCOAITIQUE,1311-150855-001-6,JOCOAITIQUE-1311-NORTE,,,
MORAZAN,JOCORO,1312-131079-001-1,JOCORO-1312-SUR,,,
MORAZAN,LOLOTIQUILLO,1313-131079-001-1,LOLOTIQUILLO-1313-SUR,,,
MORAZAN,MEANGUERA,1314-131079-001-1,MEANGUERA-1314-NORTE,,,
MORAZAN,OSICALA,1315-131079-001-1,OSICALA-1315-SUR,,,
MORAZAN,PERQUIN,1316-131079-001-1,PERQUIN-1316-NORTE,,,
MORAZAN,SAN CARLOS,1317-131079-001-1,SAN CARLOS-1317-SUR,,,
MORAZAN,SAN FERNANDO MORAZAN,1318-131079-001-1,SAN FERNANDO MORAZAN-1318-NORTE,,,
MORAZAN,SAN FRANCISCO GOTERA,1319-010611-001-8,SAN FRANCISCO GOTERA-1319-SUR,,,
MORAZAN,SAN ISIDRO MORAZAN,1320-131079-001-2,SAN ISIDRO MORAZAN-1320-NORTE,,,
MORAZAN,SAN SIMON,1321-131079-002-4,SAN SIMON-1321-SUR,,,
MORAZAN,SENSEMBRA,1322-131079-001-2,SENSEMBRA-1322-SUR,,,
MORAZAN,SOCIEDAD,1323-131079-001-2,SOCIEDAD-1323-SUR,,,
