# DISTRITO;DISTRITOS
247;CONCEPCIÓN DE ORIENT
248;EL SAUCE
249;LISLIQUE
250;NUEVA ESPARTA
251;PASAQUINA
252;POLORÓ
253;SAN JOS�
254;SANTA ROSA DE LIMA
255;CONCHAGUA
256;EL CARMEN
257;INTIPUC�
258;LA UNIÓ
259;MEANGUERA DEL GOLFO
260;SAN ALEJO
261;YAYANTIQUE
262;YUCUAIQUÍ
;
;
;
;
;
;
;
;
;
;
;
;
;
