# DEPTO;DEPARTAMENTO
1;AHUACHAPÁ
2;SANTA ANA
3;SONSONATE
4;CHALATENANGO
5;LA LIBERTAD
6;SAN SALVADOR
7;CUSCATLÁ
8;LA PAZ
9;CABAÑA
10;SAN VICENTE
11;USULUTAN
12;SAN MIGUEL
13;MORAZÁ
14;LA UNION
